Chapter,Kind,Question,Answer
"בראשית כד', 3‏",טריוויה רגילות,לא תקח אשה לבני מבנות  הכנעני אשר אנכי יושב בקרבו מי אמר למי?,אברהם לאליעזר.
"בראשית כד', 4‏",טריוויה רגילות,כי אל ארצי ואל מולדתי תלך ולקחת אשה מי אמר למי?,אברהם לאליעזר עבדו.
"בראשית כד', 38‏",טריוויה רגילות,אם לא אל בית אבי תלך ואל משפחתי ולקחת אשה מי אמר למי  אליעזר עבד א?,"אליעזר עבד אברהם בשם אברהם‏
למשפחת רבקה.."
"בראשית כד', 9‏",טריוויה רגילות,אליעזר עבד אברהם עשה את הפעולה הבאה כאשר נשבע לו לקיים את צוואתו?,שם את ידו תחת ירך אברהם..
"בראשית כד', 10‏",טריוויה רגילות,כמה גמליםלקח אליעזר בלכתו לארם נהריים?,עשרה גמלים.
"בראשית כד', 11‏",טריוויה רגילות,מתי הגיע אליעזר לעיר נחור?,לעת ערב.
"בראשית כד', 14‏",טריוויה רגילות,בתפלת אליעזר הוא בוחר את הסימן הבא לנערה המתאימה ליצחק?,"הנערה שיבקש ממנה לשתות ותתן לו‏
מכדה וגם תשקה את גמליו."
"בראשית כד', 15‏",טריוויה רגילות,רבקה יצאה לשאוב מים?,לפני שהוא גמר את תפלתו..
"בראשית כד', 15‏",טריוויה רגילות,רבקה יצאה לשאוב כאשר כדה על?,שכמה.
"בראשית כד', 16‏",טריוויה רגילות,על רבקה נאמר שהיא?,טובת מראה מאוד.
"בראשית כד', 17‏",טריוויה רגילות,אליעזר בקש מים מרבקה במלים אלו?,הגמיאיני נא מעט מים מכדך..
"בראשית כד', 21‏",טריוויה רגילות,אחרי שאליעזר ראה שהסימן שבקש בתפלתו התקיים?,"היה עדיין מתפלא אם הצליח ה' דרכו‏
או לא.."
"בראשית כד', 22‏",טריוויה רגילות,אליעזר נתן לרבקה נזם זהב ושני צמידים על ידיה?,לפני ששאל אותה בת מי היא..
"בראשית כד', 28‏",טריוויה רגילות,רבקה רצה וספרה על אליעזר ל?,בית אמה.
"בראשית כד', 33‏",טריוויה רגילות,אליעזר ספר להורי רבקה על שליחותו?,לפני שאכל.
"בראשית כד', 53‏",טריוויה רגילות,לאחר שהורי רבקה הסכימו לתתה ליצחק לאשה?,"נתן אליעזר כלי כסף וכלי זהב ובגדים‏
לרבקה ומגדנות לאחיה ולאמה.."
"בראשית כד', 57-58‏",טריוויה רגילות,לפני שהורי רבקה נתנו את הסכמתם הסופית לבקשת אליעזר?,"הם קראו לרבקה ושאלו אותה אם היא‏
מסכימה ללכת עם אליעזר.."
"בראשית כד', 63‏",טריוויה רגילות,יצחק ראה את הגמלים באים?,לפנות ערב.
"בראשית כד', 64‏",טריוויה רגילות,כאשר ראתה רבקה את יצחק?,נפלה מעל הגמל.
"בראשית כה', 1‏",טריוויה רגילות,לאחר מות שרה?,נשא אישה אחרת ושמה קטורה..
"בראשית כה', 6‏",טריוויה רגילות,לבני הפילגשים אשר לאברהם?,נתן אברהם מתנות.
"בראשית כה', 7‏",טריוויה רגילות,מספר שנות חיי אברהם היו?,"מאה, שבעים וחמש שנים."
"בראשית כה', 9‏",טריוויה רגילות,את אברהם קברו במערת המכפלה?,יצחק וישמעאל בניו.
"בראשית כה', 11‏",טריוויה רגילות,לאחר מות אברהם ישב יצחק ב?,באר לחי רואי.
"בראשית כ""ה י""ז‏",טריוויה רגילות,מספר שנות חיי ישמעאל?,מאה שלושים ושבע שנים.
"בראשית כ""ה י""ז‏",טריוויה רגילות,על ישמעאל נאמר?,ויגוע וימת ויאסף אל עמיו.
"ברשית כ""ה י""ט‏",טריוויה רגילות,יצחק נשא את רבקה לאשה בהיותו בן?,ארבעים שנה.
"בראשית כ""ה כ""א‏",טריוויה רגילות,הסיבה לתפילת יצחק לה על רבקה היא?,רבקה היתה עקרה.
"בראשית כ""ה כ""ב‏",טריוויה רגילות,מה עשתה רבקה כאשר התרוצצו הבנים בקרבה?,הלכה לדרוש את ה'.
"בראשית כ""ה כ""ג‏",טריוויה רגילות,הפסוק ה   נכון הוא?,"שני גויים בבטנך ושני לאומים ממעיך‏
יפרדו."
"בראשית כ""ה כ""ד‏",טריוויה רגילות,המלה החסרה בפסוק וימלאו ימיה ללדת והנהבבטנה היא?,תומים.
"בראשית כ""ה כ""ט‏",טריוויה רגילות,האדום האדום הזה הכוונה עפ הכתוב ל?,נזיד.
"בראשית כ""ה ל""א‏",טריוויה רגילות,יעקב מבקש  עשו ש?,ימכור לו את בכורה.
"בראשית כ""ה ל""ב‏",טריוויה רגילות,עשו אומר ליעקב?,"הנה אנכי הולך למות ולמה זה לי‏
בכורה."
"בראשית כ""ה ל""ג‏",טריוויה רגילות,לאות הסכמה על העברת הבכורה ליעקב דורש יעקב מעשו?,להשבע לו.
"בראשית כ""ה ל""ד‏",טריוויה רגילות,בתמורה על העברת הבכורה ליעקב נותן יעקב לעשו?,לחם ונזיד עדשים.
"בראשית כ""ו א'‏",טריוויה רגילות,הכתוב הנכון הוא?,הולך לארץ פלישתים.
"בראשית כ""ו ד'‏",טריוויה רגילות,כתוצאה מהרעב שפורץ בימי יצחק?,והרבתי את זרעך ככוכבי השמים.
"בראשית כ""ו ז'‏",טריוויה רגילות,בברכת ה ליצחק נאמר?,"בקש ממנה שתאמר שהיא אשתו היות‏
והוא פחד שיהרגו אותו אם ידעו שזאת‏
אשתו."
"בראשית כ""ו י""א‏",טריוויה רגילות,התנהגותו של יצחק בגרר כלפי אשתו הייתה?,"אמר לעמו: ""הנוגע באיש הזה ובאשתו‏
מות יומת""."
"בראשית כ""ו י""ב‏",טריוויה רגילות,הציווי של אבימלך ביחס ליצחק היה?,מאה שערים.
"בראשית כ""ו ט""ו‏",טריוויה רגילות,שמה של שכונה חרדית בי רושלים קשור להצלחת יצחק בגררמה שם השכונה?,נסתמו בעפר על ידי פלישתים.
"בראשית כ""ו י""ח‏",טריוויה רגילות,הבארות שחפרו עבדי אברהם?,"חפר אותן היות והפלישתים סתמו‏
אותן בעפר."
"בראשית כ""ו כ'‏",טריוויה רגילות,פעולתו של יצחק בקשר לבארות אלו היית  ה?,עשק.
"בראשית כ""ו כ""ב‏",טריוויה רגילות,שמה של הבאר הראשונה שרועי גרר רבו עם רועי יצחק עליה הוא?,רחובות.
"בראשית כ""ו, כ""ד,‏
כ""ה‏",טריוויה רגילות,שם הבאר השנייה שרבו גם עליה הוא?,"נגלה ה' אליו ואחר כך בונה יצחק‏
מזבח."
"בראשית כ""ו כ""ז‏",טריוויה רגילות,שם הבאר השלישית שלא רבו עליה הוא?,מדוע באתם אלי ואתם שנאתם אותי.
"בראשית כ""ו, כ""ח‏",טריוויה רגילות,בשובו של יצחק לבאר שבע?,"באו לחדש את הברית שכרתו עם‏
אברהם אביו."
"בראשית כ""ו, ל'‏",טריוויה רגילות,תגובתו של יצחק על ביקורו המפתיע של אבימלך ופיכול שר צבאו הייתה?,עשה משתה לאבימלך ואנשיו.
"בראשית כ""ו, ל""א‏",טריוויה רגילות,אבימלך ושר צ  באו באו לכרות ברית עם יצחקהסיבה לכך הייתה?,נשבעו איש לאחיו.
"בראשית כ""ו, ל""ג‏",טריוויה רגילות,פעולתו של יצחק בזמן כריתת הברית עם אבימלך הייתה?,על שם הבאר שבעה.
"בראשית כ""ו, ל""ד‏",טריוויה רגילות,לאות כריתת הברית בין אברהם ליצחק?,ארבעים שנה.
"בראשית כ""ו, ל""ד‏",טריוויה רגילות,אברהם קורא למקום באר שבע עש השבועה ב  ינו לבין אבימלך ויצחק קורא אף הוא לעיר?,הן גרמו מורת רוח ליצחק ורבקה.
"בראשית כ""ז א'‏",טריוויה רגילות,עשו נשא אשה בהיותו בן?,עיניו כהו מראות.
"בראשית כ""ז ג'‏",טריוויה רגילות,יחסן של נשי עשו ליצחק ולרבקה   היה?,יצא לדשה לצוד ציד.
"בראשית כ""ז, ג'‏",טריוויה רגילות,אחד מסימני הזקנה של יצחק היה?,תליך וקשתך.
"בראשית כ""ז, ד'‏",טריוויה רגילות,יצחק מבקש מעשו ש?,לברך אותו לפני מותו.
"בראשית כ""ז, ו'‏",טריוויה רגילות,הכלים שיצחק אומר לעשו לקחת אתו הם?,היא שמעה את השיחה בין יצחק לעשו.
"בראשית כ""ז, ט'‏",טריוויה רגילות,השכר שמבטיח יצחק לעשו הוא?,שני גדיי עיזים טובים.
"בראשית כ""ז י""א‏",טריוויה רגילות,כיצד ידעה רבקה על בקשת יצחק מעשו?,הן עשו אחי איש שעיר ואנכי איש חלק.
"בראשית כ""ז, ט""ו-‏
ט""ז‏",טריוויה רגילות,רבקה שלחה את יעקב להביא?,"בגדי עשו החמודות ואת עורות גדיי‏
העיזים."
"בראשית כ""ז, י""ט‏",טריוויה רגילות,הסיבה לחששותיו של יע   קב שמא יגלה אותו אביו הייתה?,"קום נא שבה ואוכלה מצידי בעבור‏
תברכני נפשך."
"בראשית כ""ז, כ""ב‏",טריוויה רגילות,כדי שיצחק לא יכיר יעקב הלבישה אותו אמו את?,ממש את יעקב.
"בראשית כ""ז, כ""ג‏",טריוויה רגילות,יעקב מדבר אל אביו בלשון זו?,כי היו ידיו כידי עשו אחיו שעירות.
"בראשית כ""ז כ""ה‏",טריוויה רגילות,לפני שיצחק או  כל את המטעמים שהביא לו יעקב הוא?,יין.
"בראשית כ""ז, כ""ז‏",טריוויה רגילות,הסיבה שיצחק לא הכיר את יעקב הייתה?,ריח שדה.
"בראשית כ""ז, כ""ח‏",טריוויה רגילות,בנוסף   למטעמים מביא יעקב לאביו?,"מטל השמים ומשמני הארץ ורוב דגן‏
ותירוש."
"בראשית כ""ז, כ""ט‏",טריוויה רגילות,את ריח הבגדים שלבש יעקב מדמה יצחק ל?,"יעבדוך עמים וישתחוו לך לאומים הוה‏
גביר לאחיך וישתחוו לך בני אמך‏
מברכך ברוך ואוררך ארור."
"בראשית כ""ז, ל'‏",טריוויה רגילות,יצחק מברך את יעקב שה יתן לו?,"זמן מועט בלבד לאחר שיצחק סיים‏
לברך את יעקב."
"בראשית כ""ז, ל""ג‏",טריוויה רגילות,הסדר הנכון של הכתוב הבא בברכת יצחק ליעקב הוא?,"חרד חרדה גדולה ושאל מי הוא זה‏
שהביא לו ציד."
"בראשית כ""ז, ל""ד‏",טריוויה רגילות,עשו הביא לאביו את צידו?,צעק צעקה גדולה ומרה עד מאוד.
"בראשית כ""ז, מ'‏",טריוויה רגילות,כשהתברר ליצחק שלא ברך את עשו תגובתו הייתה?,"ועל חרבך תחיה ואת אחיך תעבוד והיה‏
כאשר תריד ופרקת עולו מעל צווארך."
"בראשית כ""ז, מ""ו‏",טריוויה רגילות,תגובתו של עשו כאשר שמע את דברי אביו הייתה?,"היא אינה סובלת את התנהגותן של‏
בנות חת ואינה רוצה שיעקב יקח אחת‏
מהן."
"בראשית כ""ח, א'‏",טריוויה רגילות,הסדר הנכון בברכת יצחק לעשו הוא?,שלא יקח איזה מבנות כנען.
"בראשית כ""ח, ח'‏",טריוויה רגילות,רבקה מ ייעצת ליעקב לברוח לפדן ארם בגלל שעשו מתכנן להרוג אותוליצחק היא אומרת?,הוא ראה שבנות כנען רעות בעיני אביו.
"בראשית כ""ח, י'‏",טריוויה רגילות,יצחק מברך את יעקב שנית לפדן ארם ומצווה אותו?,אבנים מאבני המקום.
"בראשית כ""ח, י""ב-‏
י""ג‏",טריוויה רגילות,עשו נושא לאשה את מחלת בת ישמעאל מפני ש?,"סולם מוצב ארצה וראשו מגיע‏
השמימה ומלאכי אלוקים עולים‏
ויורדים בו וה' ניצב על הסולם.."
"בראשית כ""ח, י""ד‏",טריוויה רגילות,בחלום יעקב הוא רואה?,"והיה זרעך כעפר הארץ ופרצת ימה‏
וקדמה צפונה ונגבה."
"בראשית כ""ח, ט""ו‏",טריוויה רגילות,בהבטחת הארץ אומר ה ליעקב?,"לשמור אותו בכל אשר ילך, להשיבו אל‏
הארץ ולא לעזוב אותו."
"בראשית כ""ח, י""ח‏",טריוויה רגילות,בברכת ה ליעקב נאמר?,"לוקח את האבן ששם מתחת לראשו,‏
שם אותה מצבה ויוצק שמן על ראשה."
"בראשית כ""ח, כ'-‏
כ""ב‏",טריוויה רגילות,ה מבטיח ליעקב את ההבטחות הבאות?,נדר יעקב.
"בראשית כ""ט, א'‏",טריוויה רגילות,כשמתעורר יעקב משנת   ו הוא עושה את הפעולות הבאות?,בני קדם.
"בראשית כ""ט, ב'‏",טריוויה רגילות,"נאמרו בהקשר ל לחם, בגד, אבן, מצבה  הפרטים הרשומים בסוגריים?",פגישת יעקב עם רחל.
"בראשית כ""ט, ד'‏",טריוויה רגילות,השלם את החסר בפסוק הבא וישא יעקב רגליו וילך ארצה?,חרן.
"בראשית כ""ט, י""ז‏",טריוויה רגילות,האנשים שהכירו ליעקב את רחל באו מ?,יפת תואר ויפת מראה.
"בראשית כ""ט, י""ח,‏
ל'‏",טריוויה רגילות,כאשר ראה יעקב את רחל הוא?,שבע שנים.
"בראשית כ""ט, כ'‏",טריוויה רגילות,רחל הייתה?,כימים אחדים.
"בראשית כ""ט, ל""ב-‏
ל""ה, בראשית‏
ל',י""ח- כ'‏",טריוויה רגילות,מספר השנים שיעקב עבד ללבן בשביל רחל ולאה היה?,"ראובן, שמעון, לוי, יהודה, יששכר,‏
וזבולון."
"בראשית ל', כ""ד,‏
בראשית ל""ה, י""ח‏",טריוויה רגילות,הכתוב אומר שהשנים שיעקב עבד את לבן ברחל נחשבו בעיניו כ?,יוסף ובנימין.
"בראשית ל', י""א-י""ג‏",טריוויה רגילות,בני לאה הם?,גד ואשר.
"'בראשית ל', ה'- ח‏",טריוויה רגילות,בני   רחל הם?,דן ונפתלי.
"בראשית ל',‏
בראשית ל""ה, י""ח‏",טריוויה רגילות,בני זלפה הם?,"ראובן, שמעון, לוי, יהודה, דן, נפתלי,‏
גד, אשר,יששכר, זבולון, יוסף בנימין."
"בראשית ל', י""ד‏",טריוויה רגילות,בני בלהה הם?,דודאים.
"בראשית ל', י""ד‏",טריוויה רגילות,הסדר הנכון של בני יעקב לפי לידתם הוא?,ימי קציר חיטים.
"בראשית ל', כ""ה‏",טריוויה רגילות,ראובן מצא בשדה והביא לאמו?,לאחר שילדה רחל את יוסף.
"בראשית ל', ל""ה‏",טריוויה רגילות,ראובן הלך לשדה ב?,"לבן הפריד מבין העדר שהופקד בידי‏
יעקב את כל העקודים נקודים‏
וטלואים והנולדות בצאן עקודים‏
נקודים וטלואים ליעקב."
"בראשית ל', ל""ו‏",טריוויה רגילות,יעקב מודיע ללבן על כוונתו לחזור לארץ?,דרך שלושת ימים.
"בראשית ל', ל""ז‏",טריוויה רגילות,לבן מפציר ביעקב להאריך את שהותו ומגיעים לידי הסכם בדבר שכרו של יעקבההסכם?,מקל לבנה לח לוז וערמון.
"בראשית ל', מ""ג‏",טריוויה רגילות,המרחק ממקום המרעה של בני לבן למקום המרעה של יעקב הוא?,העטופים ללבן והקשורים ליעקב.
"'בראשית ל""א, א‏",טריוויה רגילות,תיאור המקלות שיעקב פצל בהן פצלות לבנות ושם אותם ברהטים בשיקתות המים?,"לקח יעקב את כל אשר לאבינו מאשר‏
לאבינו עשה את כל הכבוד הזה."
"'בראשית ל""א, ד‏",טריוויה רגילות,השלם את החסר בכתוב הבא  והיה הללבן וה ליעקב?,בשדה היכן שיעקב רעה.
"'בראשית ל""א, ז‏",טריוויה רגילות,מה דברו בני לבן על יעקב?,"על עזרת ה' להצלחתו למרות חילופי‏
משכורתו פעמים רבות על ידי אביהן."
"בראשית ל""א, י""ט‏",טריוויה רגילות,השיחה בין יעקב לרחל וללאה על דבר עזיבתו את לבן התקיימה ב?,לבן הלך לגזוז את צאנו.
"בראשית ל""א, כ""ב‏",טריוויה רגילות,יעקב מספר לנשיו על?,לאחר שלושה ימים.
"בראשית ל""א, כ""ג‏",טריוויה רגילות,רחל גנבה את התרפים כאשר?,דרך שבעת ימים.
"בראשית ל""א, כ""ד‏",טריוויה רגילות,המרחק שנוצר בין לבן ליעקב הוא?,בחלום הלילה לפני שנפגש עם יעקב.
"בראשית ל""א, כ""ו‏",טריוויה רגילות,לבן השיג את יעקב ב?,בנותיו.
"בראשית ל""א, כ""ז‏",טריוויה רגילות,ה הזהיר את לבן לבל יגע ביעקב לרעהמתי?,בשמחה ובשירים בתוף ובכינור.
"בראשית ל""א, ל""ד‏",טריוויה רגילות,לבן בוויכוחו עם יעקב מדמה לשבויות חרב את?,תרפים.
"בראשית ל""א, ל""ד‏",טריוויה רגילות,לבן אומר ליעקב שאילו ה   יה מספר לו על כוונתו לעזוב היה נפרד ממנו  ב?,כר הגמל.
"בראשית ל""א, ל""ה‏",טריוויה רגילות,לבן מאשים את יעקב שגנב את אלוהיו הכוונה ל?,דרך נשים לה ואינה יכולה לקום.
"בראשית ל""א, ל""ח,‏
מ""ב‏",טריוויה רגילות,רחל החב   יאה את אלוהי לבן ב?,"נאמנותו ומסירותו של יעקב ללבן‏
בשנות עבודתו."
"בראשית ל""א, מ""ה-‏
מ""ו‏",טריוויה רגילות,כשהתקרב לבן לרחל בחיפושיו התנצלה רחל בפניו שאינה יכולה לקום מפניו בגלל ש?,מקל לבנה.
"בראשית ל""א, מ""ו‏",טריוויה רגילות,"הפר   נאמרורחליך, עזיך, אילי צאנך,טרפה,חרב,קרח,נדודי שינה טים המובאים בסוגריים?",מחניים.
"בראשית ל""א, נ""ב‏",טריוויה רגילות,שנים מהפרטים הבאים קשורים לכריתת הב  רית בין יעקב ללבןהיוצא מהכלל הוא?,"התחייבות שאיש מהם אינו עובר את‏
הגל כדי להרע לחברו."
"בראשית ל""א, נ""ד‏",טריוויה רגילות,שנים מהשמות הבאים קשורים לגל שהקים יעקב היוצא מהכלל הוא?,יעקב זובח זבח בהר.
